name,abbreviation,max_faculty_capacity,current_number_of_faculty,academic_division
Mathematics,MATH,88,17,Arts
Computer Science,MATH,20,8,Engineering
Mathematics,CS,32,15,Engineering
Computer Science,MATH,64,12,Science
Mathematics,PHYS,72,10,Science
Mathematics,PHYS,91,15,Engineering
Computer Science,PHYS,50,9,Arts
Physics,CS,53,12,Engineering
Physics,MATH,47,20,Engineering
Physics,MATH,33,19,Science
Computer Science,MATH,33,16,Engineering
Computer Science,CS,43,12,Arts
Physics,PHYS,86,12,Arts
Computer Science,CS,40,5,Science
Computer Science,CS,20,13,Science
Physics,PHYS,75,16,Arts
Computer Science,PHYS,38,19,Arts
Physics,PHYS,80,5,Arts
Computer Science,PHYS,66,15,Science
Physics,PHYS,96,11,Arts
Mathematics,PHYS,36,8,Engineering
Physics,CS,58,12,Engineering
Physics,PHYS,22,14,Science
Mathematics,CS,37,6,Engineering
Computer Science,CS,56,7,Arts
Mathematics,CS,26,11,Arts
Physics,MATH,32,20,Engineering
Physics,CS,66,14,Engineering
Physics,MATH,37,17,Engineering
Computer Science,CS,92,14,Arts
Mathematics,MATH,33,8,Engineering
Computer Science,MATH,28,20,Engineering
Physics,MATH,43,6,Engineering
Physics,PHYS,43,18,Arts
Physics,MATH,54,11,Science
Mathematics,PHYS,83,18,Engineering
Physics,CS,50,19,Science
Physics,MATH,89,16,Science
Computer Science,CS,37,17,Engineering
Mathematics,CS,37,14,Arts
Physics,CS,53,5,Science
Computer Science,MATH,60,10,Arts
Mathematics,MATH,78,15,Arts
Computer Science,CS,96,20,Arts
Computer Science,MATH,27,20,Arts
Mathematics,MATH,68,6,Arts
Mathematics,PHYS,51,12,Arts
Mathematics,CS,92,17,Arts
Physics,PHYS,53,15,Arts
Mathematics,PHYS,55,15,Arts
Physics,PHYS,93,9,Arts
Computer Science,CS,99,20,Arts
Physics,MATH,31,7,Science
Mathematics,PHYS,92,9,Arts
Mathematics,PHYS,69,6,Science
Physics,MATH,45,8,Engineering
Computer Science,MATH,91,13,Science
Mathematics,CS,24,15,Arts
Physics,MATH,21,7,Arts
Physics,PHYS,34,18,Arts
Physics,MATH,71,19,Science
Physics,PHYS,98,17,Science
Physics,MATH,61,8,Arts
Computer Science,PHYS,60,12,Science
Physics,CS,92,18,Arts
Mathematics,MATH,64,12,Arts
Mathematics,PHYS,32,12,Science
Physics,MATH,97,6,Engineering
Physics,PHYS,51,7,Science
Computer Science,MATH,38,17,Science
Mathematics,MATH,44,19,Arts
Mathematics,MATH,96,7,Engineering
Computer Science,PHYS,98,10,Science
Computer Science,CS,29,11,Engineering
Computer Science,MATH,97,13,Science
Physics,MATH,100,18,Arts
Physics,CS,40,13,Arts
Mathematics,CS,79,6,Science
Mathematics,PHYS,61,20,Engineering
Computer Science,MATH,73,12,Science
Physics,MATH,27,6,Arts
Mathematics,MATH,57,10,Science
Physics,PHYS,63,6,Science
Physics,CS,46,7,Engineering
Mathematics,MATH,39,19,Arts
Mathematics,MATH,64,16,Engineering
Mathematics,MATH,98,17,Science
Physics,PHYS,58,9,Science
Physics,CS,43,9,Engineering
Computer Science,PHYS,45,12,Arts
Mathematics,CS,83,18,Arts
Mathematics,MATH,41,13,Science
Mathematics,CS,87,13,Science
Physics,PHYS,21,10,Science
Computer Science,MATH,39,5,Engineering
Physics,CS,44,7,Science
Mathematics,CS,56,18,Science
Physics,CS,58,7,Science
Computer Science,MATH,27,18,Arts
Physics,CS,22,16,Engineering
Physics,PHYS,88,5,Engineering
Computer Science,MATH,31,19,Arts
Computer Science,CS,91,9,Science
Physics,PHYS,88,20,Science
Computer Science,PHYS,53,17,Science
Physics,CS,64,13,Engineering
Computer Science,PHYS,63,15,Engineering
Computer Science,MATH,56,12,Arts
Mathematics,PHYS,25,16,Engineering
Computer Science,CS,63,9,Arts
