name,abbreviation,max_faculty_capacity,current_number_of_faculty,academic_division
Computer Science,PHYS,61,12,Engineering
Mathematics,PHYS,46,10,Engineering
Physics,ART,66,17,Science
Electrical Engineering,ART,22,15,Engineering
Physics,EENG,51,14,Science
Mathematics,EENG,91,8,Arts
Art,PHYS,30,20,Arts
Art,CS,37,13,Engineering
Art,ART,93,16,Science
English,EENG,93,11,Arts
Art,CS,55,19,Science
Art,ENG,53,10,Science
Physics,PHYS,70,9,Science
Art,EENG,82,17,Science
English,CS,51,8,Engineering
English,CS,64,6,Science
Physics,ENG,31,14,Science
Physics,PHYS,39,17,Science
English,MATH,51,12,Science
Electrical Engineering,MATH,76,6,Science
Physics,PHYS,91,8,Arts
Mathematics,CS,64,5,Arts
Physics,ENG,30,13,Engineering
Physics,PHYS,90,20,Science
English,EENG,44,7,Arts
English,MATH,44,8,Engineering
Electrical Engineering,ENG,50,19,Engineering
Computer Science,MATH,37,6,Arts
English,CS,46,10,Engineering
Physics,MATH,36,8,Science
Mathematics,PHYS,27,9,Science
English,ENG,84,8,Arts
Computer Science,PHYS,22,7,Arts
Art,PHYS,94,6,Arts
Art,EENG,37,5,Engineering
Physics,PHYS,67,10,Arts
Mathematics,MATH,87,7,Science
English,ART,29,10,Arts
Electrical Engineering,CS,57,16,Arts
Mathematics,ART,97,17,Engineering
Electrical Engineering,EENG,48,15,Arts
Physics,ENG,60,16,Science
Art,CS,40,16,Arts
Electrical Engineering,PHYS,54,19,Arts
Computer Science,ENG,71,18,Science
Computer Science,EENG,68,9,Engineering
Art,CS,39,13,Science
English,ENG,93,9,Science
Mathematics,ENG,30,5,Science
Physics,PHYS,51,16,Science
Art,ENG,65,18,Arts
Art,EENG,63,16,Engineering
Art,MATH,56,9,Arts
English,MATH,48,10,Science
Mathematics,ENG,29,7,Engineering
English,PHYS,90,13,Engineering
Physics,CS,96,12,Science
Electrical Engineering,CS,85,11,Science
Computer Science,PHYS,59,7,Science
Mathematics,ART,85,11,Engineering
Electrical Engineering,ART,90,7,Engineering
Physics,ENG,62,7,Science
Physics,PHYS,25,5,Engineering
Mathematics,ENG,52,17,Science
Art,ART,64,11,Science
Mathematics,ENG,60,17,Arts
Computer Science,MATH,26,16,Engineering
Physics,ENG,63,20,Arts
Art,CS,37,5,Science
Computer Science,EENG,37,10,Arts
Art,ART,76,9,Arts
Art,ART,77,17,Arts
English,PHYS,94,15,Arts
Art,PHYS,42,14,Engineering
Mathematics,CS,25,11,Engineering
Mathematics,MATH,23,13,Engineering
Electrical Engineering,EENG,26,10,Engineering
Art,PHYS,50,13,Engineering
Art,PHYS,32,17,Engineering
Computer Science,EENG,70,8,Science
Physics,CS,50,12,Engineering
Mathematics,ENG,48,12,Arts
Mathematics,PHYS,50,18,Engineering
Art,ENG,55,14,Arts
Art,ART,67,16,Engineering
Art,PHYS,51,16,Arts
English,EENG,25,20,Science
Electrical Engineering,CS,73,16,Engineering
Electrical Engineering,CS,95,19,Science
Physics,EENG,22,19,Arts
English,PHYS,47,12,Engineering
Electrical Engineering,PHYS,72,15,Arts
Art,MATH,83,20,Science
Computer Science,CS,92,8,Engineering
Mathematics,PHYS,92,5,Engineering
Computer Science,ENG,28,5,Arts
Electrical Engineering,ART,36,13,Science
English,CS,68,6,Arts
Physics,MATH,81,11,Science
Art,ART,43,10,Arts
Physics,EENG,32,13,Science
English,MATH,27,20,Science
Electrical Engineering,ENG,46,19,Engineering
Computer Science,MATH,81,18,Engineering
Mathematics,PHYS,74,17,Science
English,PHYS,56,16,Arts
Mathematics,PHYS,54,8,Science
Art,PHYS,83,7,Arts
English,ENG,33,17,Engineering
Physics,MATH,43,12,Science
Electrical Engineering,CS,50,19,Science
Mathematics,ART,28,11,Engineering
Physics,PHYS,75,12,Engineering
Mathematics,PHYS,86,17,Engineering
Electrical Engineering,CS,52,8,Science
Mathematics,ART,78,9,Arts
English,EENG,71,17,Arts
English,MATH,32,18,Engineering
Art,PHYS,33,14,Engineering
Physics,PHYS,73,6,Science
Mathematics,MATH,33,10,Arts
Art,ART,74,15,Engineering
English,ENG,88,12,Arts
Electrical Engineering,PHYS,53,20,Science
Mathematics,MATH,68,10,Science
Computer Science,EENG,27,6,Science
Art,ART,54,19,Science
English,ENG,82,12,Arts
English,MATH,49,15,Engineering
Physics,CS,67,8,Science
Physics,ENG,69,15,Engineering
English,CS,80,7,Engineering
Computer Science,PHYS,48,8,Science
Art,EENG,73,13,Arts
Electrical Engineering,PHYS,98,19,Engineering
Electrical Engineering,ENG,57,7,Arts
Physics,ENG,73,7,Engineering
Art,CS,94,11,Engineering
Physics,ENG,64,9,Engineering
Electrical Engineering,PHYS,96,11,Arts
English,CS,39,6,Arts
Art,EENG,60,6,Arts
Computer Science,ART,93,19,Engineering
Electrical Engineering,EENG,65,13,Engineering
Physics,ENG,40,12,Engineering
Electrical Engineering,ART,43,18,Engineering
Physics,PHYS,49,11,Science
Electrical Engineering,PHYS,77,6,Arts
Art,MATH,31,17,Engineering
Electrical Engineering,ENG,76,9,Arts
English,MATH,53,16,Engineering
Electrical Engineering,PHYS,69,14,Science
Mathematics,MATH,60,8,Engineering
Mathematics,MATH,96,11,Science
Art,MATH,64,5,Arts
English,CS,28,5,Science
Computer Science,EENG,63,12,Arts
Mathematics,ART,30,13,Arts
Electrical Engineering,EENG,95,8,Science
Electrical Engineering,ENG,97,15,Engineering
English,MATH,75,17,Arts
Art,MATH,94,8,Science
Computer Science,ART,22,12,Engineering
Art,PHYS,40,16,Science
Physics,EENG,34,7,Science
Electrical Engineering,MATH,24,7,Engineering
Computer Science,MATH,53,8,Science
English,PHYS,87,15,Science
Computer Science,CS,60,14,Engineering
Art,ART,24,18,Arts
Electrical Engineering,MATH,37,18,Engineering
Computer Science,PHYS,81,11,Engineering
Electrical Engineering,CS,95,7,Engineering
Electrical Engineering,ENG,58,11,Science
English,MATH,26,19,Arts
