job_id,position_title,department,tenure_track,full_time,part_time,adjunct,hourly,per_hour_wage,salary,listing_date,end_listing_date,openings
0,Associate Professor,Physics,0,0,0,0,1,79.72289612449529,76685,2010-10-02 13:10:36,2016-08-06 01:26:03,8
1,Professor,Electrical Engineering,0,1,0,0,1,65.01935556819183,97362,2015-09-02 19:18:33,2002-11-03 08:34:01,8
2,Associate Professor,English,1,0,1,1,1,47.00130395877528,130958,2006-03-05 16:31:49,2020-01-05 19:43:15,6
3,Associate Professor,Computer Science,0,0,1,0,1,42.61894369374758,124250,2015-01-11 11:56:32,2001-04-14 04:21:20,6
4,Associate Professor,English,0,1,1,1,0,64.85717964439677,83975,2021-01-09 04:58:25,2001-12-25 21:45:30,10
5,Professor,Electrical Engineering,0,0,0,1,0,32.6720619602825,113458,2000-02-02 04:43:20,2005-12-08 00:38:58,9
6,Assistant Professor,Computer Science,1,1,0,0,0,79.22116347951388,147365,2019-07-07 18:50:37,2012-05-03 19:36:07,1
7,Assistant Professor,Electrical Engineering,1,1,0,1,1,75.36157303570312,54579,2022-06-05 12:48:36,2020-10-06 19:47:39,7
8,Assistant Professor,Electrical Engineering,1,0,0,0,0,57.18929689357168,72600,2019-04-07 06:17:07,2019-08-11 23:13:48,1
9,Associate Professor,Mathematics,0,0,1,0,0,15.93603586995923,76983,2004-11-12 10:23:25,2014-10-27 09:31:20,8
10,Assistant Professor,Art,1,1,1,1,1,99.61952836658794,68573,2008-11-07 02:55:11,2018-11-11 08:18:47,9
11,Professor,Mathematics,0,0,1,0,0,54.24084576013068,143578,2012-04-06 18:21:49,2005-11-12 09:47:50,7
12,Associate Professor,Computer Science,1,0,1,1,0,22.547154079581937,82962,2016-10-22 09:11:16,2010-07-16 19:40:56,3
13,Associate Professor,Mathematics,1,1,1,0,1,97.47928777932611,64549,2002-10-05 02:17:17,2011-06-23 21:25:38,6
14,Assistant Professor,English,0,0,1,1,1,94.13487640320098,145118,2023-12-14 14:33:51,2012-08-09 03:23:37,2
15,Assistant Professor,Mathematics,0,0,0,0,0,92.5842169112782,121238,2010-10-16 05:00:07,2021-03-25 07:30:54,6
16,Professor,English,1,0,1,1,0,24.381594496766333,130677,2017-12-28 14:26:06,2021-08-04 04:44:16,10
17,Associate Professor,Electrical Engineering,0,0,1,1,1,29.476907186980995,105112,2013-06-15 16:02:10,2012-11-11 05:42:43,6
18,Professor,Art,0,1,0,1,1,45.345236121052764,82058,2012-11-17 04:53:39,2003-08-01 05:36:42,1
19,Associate Professor,Mathematics,1,1,1,0,0,27.356645467723883,50621,2010-01-14 03:57:09,2019-02-26 06:25:40,9
20,Associate Professor,Physics,1,0,1,1,1,47.18753005512141,144816,2018-05-08 23:44:57,2022-11-02 07:00:29,5
21,Associate Professor,Electrical Engineering,1,0,0,1,0,32.51245267479925,92340,2005-09-03 23:24:59,2008-12-13 10:44:01,5
22,Associate Professor,Physics,1,0,1,0,0,47.56637253147623,149777,2000-08-10 04:31:48,2019-11-20 01:47:22,4
23,Assistant Professor,Computer Science,1,1,1,0,1,58.90715390377624,125032,2001-01-24 03:51:06,2010-07-01 06:11:32,4
24,Associate Professor,Electrical Engineering,1,1,1,0,0,89.62925368686678,100785,2023-04-09 06:20:51,2002-01-24 12:37:10,2
25,Assistant Professor,Art,0,0,1,0,1,68.16049232993215,114647,2006-12-08 15:14:45,2022-01-21 15:01:14,2
