letter_id,offer_or_rejection,job,start_date,next_steps,rejection_date,denial_reason
0,Offer,Associate Professor,2009-01-28 20:37:50,Awaiting Response,2020-11-08 19:44:43,Not Qualified
1,Offer,Associate Professor,2011-01-04 08:50:00,Awaiting Response,2010-06-22 23:05:01,Not Qualified
2,Offer,Associate Professor,2001-02-07 07:24:01,Awaiting Response,2017-09-15 06:13:25,Not Qualified
3,Offer,Assistant Professor,2021-04-24 19:46:58,Awaiting Response,2001-07-06 00:16:29,Incomplete Application
4,Rejection,Associate Professor,2022-07-25 03:31:02,Awaiting Response,2011-01-17 19:01:31,Incomplete Application
5,Rejection,Associate Professor,2003-11-03 01:06:18,Awaiting Response,2002-06-18 00:18:06,Not Qualified
6,Offer,Associate Professor,2005-02-23 08:32:26,Awaiting Response,2017-09-09 02:22:24,Incomplete Application
7,Offer,Assistant Professor,2018-08-24 04:54:30,Awaiting Response,2004-11-27 00:12:49,Not Qualified
8,Rejection,Professor,2007-03-12 18:48:57,Awaiting Response,2000-11-05 05:40:39,Incomplete Application
9,Offer,Assistant Professor,2020-12-03 17:37:26,Awaiting Response,2017-11-13 12:09:17,Not Qualified
10,Offer,Professor,2000-09-20 00:56:10,Awaiting Response,2019-12-06 23:41:02,Incomplete Application
11,Rejection,Professor,2016-08-06 06:33:42,Awaiting Response,2013-05-24 05:29:57,Position Filled
12,Offer,Assistant Professor,2008-12-03 03:19:47,Awaiting Response,2012-11-11 09:14:08,Incomplete Application
13,Offer,Professor,2015-08-19 11:22:25,Awaiting Response,2003-11-15 01:20:12,Position Filled
14,Offer,Assistant Professor,2011-12-23 07:22:12,Awaiting Response,2020-04-11 06:39:16,Position Filled
15,Offer,Assistant Professor,2022-08-12 14:13:51,Awaiting Response,2016-02-02 10:33:39,Incomplete Application
16,Offer,Associate Professor,2007-07-15 10:07:01,Awaiting Response,2004-08-24 08:57:59,Position Filled
17,Offer,Assistant Professor,2013-03-22 14:55:13,Awaiting Response,2015-09-22 16:23:29,Not Qualified
18,Offer,Assistant Professor,2022-03-01 11:24:17,Awaiting Response,2014-05-21 20:27:12,Not Qualified
19,Offer,Professor,2017-06-15 05:59:00,Awaiting Response,2018-05-11 08:04:58,Incomplete Application
20,Offer,Associate Professor,2021-12-02 01:33:41,Awaiting Response,2017-07-09 11:04:42,Not Qualified
21,Rejection,Assistant Professor,2004-12-13 07:09:02,Awaiting Response,2006-01-03 00:22:00,Not Qualified
22,Offer,Associate Professor,2019-06-22 06:02:50,Awaiting Response,2016-04-27 05:32:00,Position Filled
23,Rejection,Associate Professor,2008-12-07 05:30:33,Awaiting Response,2018-09-04 16:36:45,Position Filled
24,Offer,Associate Professor,2022-07-12 21:06:26,Awaiting Response,2005-03-20 18:07:01,Not Qualified
25,Rejection,Professor,2021-07-08 00:19:16,Awaiting Response,2013-09-06 12:34:15,Incomplete Application
26,Offer,Associate Professor,2022-07-09 18:51:47,Awaiting Response,2019-04-11 20:37:10,Position Filled
27,Rejection,Assistant Professor,2015-05-19 16:44:14,Awaiting Response,2011-04-14 20:35:34,Not Qualified
28,Offer,Professor,2019-04-27 14:41:47,Awaiting Response,2023-03-20 20:45:12,Incomplete Application
29,Offer,Assistant Professor,2005-11-08 07:39:46,Awaiting Response,2018-06-26 07:57:10,Not Qualified
30,Rejection,Associate Professor,2020-12-10 09:51:28,Awaiting Response,2009-08-11 01:23:27,Position Filled
31,Rejection,Assistant Professor,2021-10-28 17:16:40,Awaiting Response,2010-09-15 00:35:32,Not Qualified
32,Offer,Associate Professor,2020-03-22 15:56:35,Awaiting Response,2007-06-14 11:49:35,Position Filled
33,Rejection,Professor,2021-11-05 12:44:15,Awaiting Response,2014-10-19 01:29:57,Not Qualified
34,Offer,Assistant Professor,2007-06-08 02:03:58,Awaiting Response,2016-07-18 19:05:41,Incomplete Application
35,Rejection,Associate Professor,2015-05-18 05:16:23,Awaiting Response,2004-02-23 23:41:09,Incomplete Application
36,Rejection,Assistant Professor,2022-04-23 16:04:24,Awaiting Response,2012-09-23 20:15:48,Incomplete Application
37,Offer,Professor,2004-12-27 15:48:03,Awaiting Response,2015-03-14 15:54:43,Not Qualified
38,Offer,Associate Professor,2015-06-17 18:57:13,Awaiting Response,2002-12-16 18:11:57,Incomplete Application
39,Offer,Associate Professor,2002-02-26 11:12:15,Awaiting Response,2016-05-14 09:21:29,Incomplete Application
40,Offer,Professor,2014-04-21 18:54:51,Awaiting Response,2015-10-26 00:34:19,Not Qualified
41,Offer,Professor,2014-05-28 18:00:54,Awaiting Response,2016-04-14 05:30:53,Not Qualified
42,Offer,Professor,2018-02-25 07:54:12,Awaiting Response,2009-02-19 20:12:12,Not Qualified
43,Rejection,Associate Professor,2015-08-05 18:17:55,Awaiting Response,2022-07-14 05:08:55,Incomplete Application
44,Offer,Associate Professor,2020-10-16 22:21:10,Awaiting Response,2020-12-17 14:36:49,Position Filled
45,Rejection,Professor,2023-04-26 05:28:46,Awaiting Response,2011-12-27 20:39:48,Not Qualified
46,Rejection,Assistant Professor,2020-05-26 13:59:59,Awaiting Response,2016-02-02 21:33:09,Position Filled
47,Rejection,Associate Professor,2022-05-27 12:59:47,Awaiting Response,2017-02-05 06:27:52,Incomplete Application
48,Rejection,Associate Professor,2001-11-25 03:46:44,Awaiting Response,2019-06-21 06:44:14,Not Qualified
49,Offer,Professor,2002-11-12 03:56:12,Awaiting Response,2014-03-02 22:07:34,Incomplete Application
50,Offer,Assistant Professor,2000-03-20 05:03:29,Awaiting Response,2019-05-17 14:59:46,Not Qualified
51,Rejection,Associate Professor,2015-05-23 17:42:16,Awaiting Response,2020-03-03 14:16:57,Incomplete Application
52,Offer,Assistant Professor,2013-12-28 16:59:36,Awaiting Response,2023-08-05 14:03:16,Incomplete Application
53,Offer,Assistant Professor,2013-08-02 14:28:32,Awaiting Response,2010-10-21 11:44:03,Incomplete Application
54,Rejection,Professor,2008-11-06 20:37:42,Awaiting Response,2006-08-13 01:15:52,Not Qualified
55,Rejection,Professor,2003-04-14 14:56:21,Awaiting Response,2011-12-02 14:53:28,Position Filled
